date,period,bin,count
2020-11-24,afternoon_commute,15+,6
2020-11-25,morning_commute,0-5,308
2020-11-25,morning_commute,5-10,153
2020-11-25,morning_commute,10-15,13
2020-11-25,morning_commute,15+,1
2020-11-25,off_peak,0-5,831
2020-11-25,off_peak,5-10,532
2020-11-25,off_peak,10-15,90
2020-11-25,off_peak,15+,3
2020-11-25,afternoon_commute,0-5,528
2020-11-25,afternoon_commute,5-10,285
2020-11-25,afternoon_commute,10-15,63
2020-11-25,afternoon_commute,15+,23
2020-11-27,morning_commute,0-5,299
2020-11-27,morning_commute,5-10,83
2020-11-27,morning_commute,10-15,59
2020-11-27,morning_commute,15+,0
2020-11-27,off_peak,0-5,761
2020-11-27,off_peak,5-10,469
2020-11-27,off_peak,10-15,158
2020-11-27,off_peak,15+,15
2020-11-27,afternoon_commute,0-5,461
2020-11-27,afternoon_commute,5-10,263
2020-11-27,afternoon_commute,10-15,95
2020-11-27,afternoon_commute,15+,14
2020-11-30,morning_commute,0-5,266
2020-11-30,morning_commute,5-10,129
2020-11-30,morning_commute,10-15,49
2020-11-30,morning_commute,15+,0
2020-11-30,off_peak,0-5,714
2020-11-30,off_peak,5-10,398
2020-11-30,off_peak,10-15,153
2020-11-30,off_peak,15+,41
2020-11-30,afternoon_commute,0-5,244
2020-11-30,afternoon_commute,5-10,335
2020-11-30,afternoon_commute,10-15,70
2020-11-30,afternoon_commute,15+,36
