date,period,bin,count
2020-09-17,morning_commute,10-15,80
2020-09-17,morning_commute,15+,22
2020-09-17,off_peak,0-5,434
2020-09-17,off_peak,5-10,263
2020-09-17,off_peak,10-15,148
2020-09-17,off_peak,15+,110
2020-09-17,afternoon_commute,0-5,242
2020-09-17,afternoon_commute,5-10,136
2020-09-17,afternoon_commute,10-15,102
2020-09-17,afternoon_commute,15+,93
2020-09-18,morning_commute,0-5,177
2020-09-18,morning_commute,5-10,51
2020-09-18,morning_commute,10-15,63
2020-09-18,morning_commute,15+,26
2020-09-18,off_peak,0-5,467
2020-09-18,off_peak,5-10,330
2020-09-18,off_peak,10-15,157
2020-09-18,off_peak,15+,74
2020-09-18,afternoon_commute,0-5,268
2020-09-18,afternoon_commute,5-10,264
2020-09-18,afternoon_commute,10-15,114
2020-09-18,afternoon_commute,15+,39
2020-09-21,morning_commute,0-5,124
2020-09-21,morning_commute,5-10,72
2020-09-21,morning_commute,10-15,38
2020-09-21,morning_commute,15+,36
2020-09-21,off_peak,0-5,463
2020-09-21,off_peak,5-10,244
2020-09-21,off_peak,10-15,153
2020-09-21,off_peak,15+,103
2020-09-21,afternoon_commute,0-5,299
2020-09-21,afternoon_commute,5-10,180
2020-09-21,afternoon_commute,10-15,109
2020-09-21,afternoon_commute,15+,54
2020-09-22,morning_commute,0-5,128
2020-09-22,morning_commute,5-10,126
2020-09-22,morning_commute,10-15,59
2020-09-22,morning_commute,15+,10
2020-09-22,off_peak,0-5,463
2020-09-22,off_peak,5-10,249
2020-09-22,off_peak,10-15,185
2020-09-22,off_peak,15+,92
2020-09-22,afternoon_commute,0-5,285
2020-09-22,afternoon_commute,5-10,159
2020-09-22,afternoon_commute,10-15,115
2020-09-22,afternoon_commute,15+,51
2020-09-23,morning_commute,0-5,181
2020-09-23,morning_commute,5-10,40
2020-09-23,morning_commute,10-15,79
2020-09-23,morning_commute,15+,24
2020-09-23,off_peak,0-5,447
2020-09-23,off_peak,5-10,283
2020-09-23,off_peak,10-15,168
2020-09-23,off_peak,15+,84
2020-09-23,afternoon_commute,0-5,293
2020-09-23,afternoon_commute,5-10,197
2020-09-23,afternoon_commute,10-15,83
2020-09-23,afternoon_commute,15+,70
2020-09-24,morning_commute,0-5,132
2020-09-24,morning_commute,5-10,99
2020-09-24,morning_commute,10-15,60
2020-09-24,morning_commute,15+,20
2020-09-24,off_peak,0-5,386
2020-09-24,off_peak,5-10,287
2020-09-24,off_peak,10-15,187
2020-09-24,off_peak,15+,78
2020-09-24,afternoon_commute,0-5,263
2020-09-24,afternoon_commute,5-10,120
2020-09-24,afternoon_commute,10-15,120
2020-09-24,afternoon_commute,15+,82
2020-09-25,morning_commute,0-5,174
2020-09-25,morning_commute,5-10,125
2020-09-25,morning_commute,10-15,20
2020-09-25,morning_commute,15+,25
2020-09-25,off_peak,0-5,469
2020-09-25,off_peak,5-10,192
2020-09-25,off_peak,10-15,138
2020-09-25,off_peak,15+,143
2020-09-25,afternoon_commute,0-5,243
2020-09-25,afternoon_commute,5-10,221
2020-09-25,afternoon_commute,10-15,93
2020-09-25,afternoon_commute,15+,56
2020-09-28,morning_commute,0-5,247
2020-09-28,morning_commute,5-10,153
2020-09-28,morning_commute,10-15,22
2020-09-28,morning_commute,15+,1
2020-09-28,off_peak,0-5,591
2020-09-28,off_peak,5-10,321
2020-09-28,off_peak,10-15,195
2020-09-28,off_peak,15+,37
2020-09-28,afternoon_commute,0-5,321
2020-09-28,afternoon_commute,5-10,150
2020-09-28,afternoon_commute,10-15,136
2020-09-28,afternoon_commute,15+,49
2020-09-29,morning_commute,0-5,208
2020-09-29,morning_commute,5-10,30
2020-09-29,morning_commute,10-15,45
2020-09-29,morning_commute,15+,42
2020-09-29,off_peak,0-5,489
2020-09-29,off_peak,5-10,257
2020-09-29,off_peak,10-15,178
2020-09-29,off_peak,15+,81
2020-09-29,afternoon_commute,0-5,255
2020-09-29,afternoon_commute,5-10,225
2020-09-29,afternoon_commute,10-15,111
2020-09-29,afternoon_commute,15+,46
2020-09-30,morning_commute,0-5,202
2020-09-30,morning_commute,5-10,101
2020-09-30,morning_commute,10-15,52
2020-09-30,morning_commute,15+,9
2020-09-30,off_peak,0-5,544
2020-09-30,off_peak,5-10,266
2020-09-30,off_peak,10-15,156
2020-09-30,off_peak,15+,82
2020-09-30,afternoon_commute,0-5,275
2020-09-30,afternoon_commute,5-10,296
2020-09-30,afternoon_commute,10-15,56
2020-09-30,afternoon_commute,15+,47
2020-10-01,morning_commute,0-5,152
2020-10-01,morning_commute,5-10,150
2020-10-01,morning_commute,10-15,36
2020-10-01,morning_commute,15+,6
2020-10-01,off_peak,0-5,530
2020-10-01,off_peak,5-10,223
2020-10-01,off_peak,10-15,207
2020-10-01,off_peak,15+,73
2020-10-01,afternoon_commute,0-5,238
2020-10-01,afternoon_commute,5-10,236
2020-10-01,afternoon_commute,10-15,119
2020-10-01,afternoon_commute,15+,35
2020-10-02,morning_commute,0-5,182
2020-10-02,morning_commute,5-10,84
2020-10-02,morning_commute,10-15,58
2020-10-02,morning_commute,15+,17
2020-10-02,off_peak,0-5,381
2020-10-02,off_peak,5-10,229
2020-10-02,off_peak,10-15,121
2020-10-02,off_peak,15+,129
2020-10-02,afternoon_commute,0-5,277
2020-10-02,afternoon_commute,5-10,138
2020-10-02,afternoon_commute,10-15,116
2020-10-02,afternoon_commute,15+,78
2020-10-05,morning_commute,0-5,181
2020-10-05,morning_commute,5-10,110
2020-10-05,morning_commute,10-15,43
2020-10-05,morning_commute,15+,20
2020-10-05,off_peak,0-5,449
2020-10-05,off_peak,5-10,406
2020-10-05,off_peak,10-15,146
2020-10-05,off_peak,15+,51
2020-10-05,afternoon_commute,0-5,284
2020-10-05,afternoon_commute,5-10,168
2020-10-05,afternoon_commute,10-15,146
2020-10-05,afternoon_commute,15+,41
2020-10-06,morning_commute,0-5,239
2020-10-06,morning_commute,5-10,82
2020-10-06,morning_commute,10-15,68
